checking_acc,duration_mnth,credit_hist,purpose,credit_amt,savings_acc,emp_status,installment_rate,pstatus_sex,guarantor,Residence_LOS,property,age,installment_plan,housing,existing_credit,job,dependents,telephone,foreign_worker,credit
Less than 0 DM,6,Critical account,radio/television,1169,none,Greater than 7 years,4,male_single,none,4,real estate,67,none,own,2,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,48,Existing credits paid back duly,radio/television,5951,Less than 100 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee,1,none,yes,good
none,12,Critical account,education,2096,Less than 100 DM,Btw 4 to 7 years,2,male_single,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,bad
Less than 0 DM,42,Existing credits paid back duly,furniture/equipment,7882,Less than 100 DM,Btw 4 to 7 years,2,male_single,guarantor,4,BSSA or life insurance,45,none,free,1,skilled employee,2,none,yes,bad
Less than 0 DM,24,Delays in paying off,new car,4870,Less than 100 DM,Btw 1 to 4 years,3,male_single,none,4,none,53,none,free,2,skilled employee,2,none,yes,good
none,36,Existing credits paid back duly,education,9055,none,Btw 1 to 4 years,2,male_single,none,4,none,35,none,free,1,unskilled - resident,2,registered,yes,bad
none,24,Existing credits paid back duly,furniture/equipment,2835,Btw 500 to 999 DM,Greater than 7 years,3,male_single,none,4,BSSA or life insurance,53,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,36,Existing credits paid back duly,used car,6948,Less than 100 DM,Btw 1 to 4 years,2,male_single,none,2,car or other,35,none,rent,1,self-employed/management employee,1,registered,yes,bad
none,12,Existing credits paid back duly,radio/television,3059,Equal or Greater than 1000 DM,Btw 4 to 7 years,2,male_divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,30,Critical account,new car,5234,Less than 100 DM,unemployed,4,male_married/widowed,none,2,car or other,28,none,own,2,self-employed/management employee,1,none,yes,good
