checking_acc,duration_mnth,credit_hist,purpose,credit_amt,savings_acc,emp_status,installment_rate,pstatus_sex,guarantor,Residence_LOS,property,age,installment_plan,housing,existing_credit,job,dependents,telephone,foreign_worker,credit
Less than 0 DM,48,Existing credits paid back duly,radio/television,6999,Less than 100 DM,Btw 4 to 7 years,1,male_married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee,1,registered,yes,good
Btw 0 to 199 DM,36,Delays in paying off,new car,8086,Btw 100 to 499 DM,Greater than 7 years,2,male_single,none,4,car or other,42,none,own,4,self-employed/management employee,1,registered,yes,good
Less than 0 DM,48,Existing credits paid back duly,used car,4788,Less than 100 DM,Btw 4 to 7 years,4,male_single,none,3,BSSA or life insurance,26,none,own,1,skilled employee,2,none,yes,bad
Equal or Greater than 200 DM,24,Critical account,business,1275,Equal or Greater than 1000 DM,Btw 1 to 4 years,2,male_divorced/separated,none,4,real estate,36,none,own,2,skilled employee,1,registered,yes,bad
Equal or Greater than 200 DM,18,All credits taken paid back duly,radio/television,1445,none,Btw 4 to 7 years,4,male_single,none,4,car or other,49,bank,own,1,unskilled - resident,1,none,yes,bad
Less than 0 DM,36,Existing credits paid back duly,furniture/equipment,3446,Less than 100 DM,Greater than 7 years,4,male_single,none,2,car or other,42,none,own,1,skilled employee,2,none,yes,good
Btw 0 to 199 DM,12,Delays in paying off,radio/television,585,Less than 100 DM,Btw 1 to 4 years,4,male_married/widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee,1,none,yes,bad
none,15,Existing credits paid back duly,used car,4657,Less than 100 DM,Btw 1 to 4 years,3,male_single,none,2,car or other,30,none,own,1,skilled employee,1,registered,yes,bad
Less than 0 DM,13,Critical account,business,1797,Less than 100 DM,Less than a year,3,male_single,none,1,BSSA or life insurance,28,bank,own,2,unskilled - resident,1,none,yes,bad
Less than 0 DM,12,Existing credits paid back duly,furniture/equipment,1262,none,Greater than 7 years,2,male_divorced/separated,none,4,BSSA or life insurance,49,none,own,1,unskilled - resident,1,registered,yes,bad
Btw 0 to 199 DM,36,Existing credits paid back duly,furniture/equipment,9034,Btw 100 to 499 DM,Less than a year,4,male_single,co-applicant,1,none,29,none,rent,1,self-employed/management employee,1,registered,yes,good
Btw 0 to 199 DM,12,Existing credits paid back duly,business,1037,Btw 100 to 499 DM,Btw 4 to 7 years,3,male_single,none,4,real estate,39,none,own,1,unskilled - resident,1,none,yes,bad
Less than 0 DM,10,Critical account,new car,1038,Less than 100 DM,Btw 4 to 7 years,4,male_single,co-applicant,3,BSSA or life insurance,49,none,own,2,skilled employee,1,registered,yes,bad
none,18,Critical account,radio/television,1582,Equal or Greater than 1000 DM,Greater than 7 years,4,male_single,none,4,car or other,46,none,own,2,skilled employee,1,none,yes,bad
none,5,Existing credits paid back duly,business,3448,Less than 100 DM,Btw 4 to 7 years,1,male_single,none,4,real estate,74,none,own,1,unskilled - resident,1,none,yes,bad
none,60,Existing credits paid back duly,new car,6527,none,Btw 1 to 4 years,4,male_single,none,4,none,34,none,free,1,skilled employee,2,registered,yes,bad
Less than 0 DM,12,Critical account,new car,691,Less than 100 DM,Greater than 7 years,4,male_single,none,3,BSSA or life insurance,35,none,own,2,skilled employee,1,none,yes,good
Btw 0 to 199 DM,18,Critical account,new car,1056,Less than 100 DM,Greater than 7 years,3,male_single,guarantor,3,real estate,30,bank,own,2,skilled employee,1,none,yes,good
none,18,Existing credits paid back duly,business,1568,Btw 100 to 499 DM,Btw 1 to 4 years,3,female_divorced/separated/married,none,4,BSSA or life insurance,24,none,rent,1,unskilled - resident,1,none,yes,bad
none,12,Delays in paying off,repairs,1555,Equal or Greater than 1000 DM,Greater than 7 years,4,male_single,none,4,none,55,none,free,2,skilled employee,2,none,yes,good
none,36,Critical account,new car,3535,Less than 100 DM,Btw 4 to 7 years,4,male_single,none,4,car or other,37,none,own,2,skilled employee,1,registered,yes,bad
none,48,Critical account,used car,8858,none,Btw 4 to 7 years,2,male_single,none,1,none,35,none,free,2,skilled employee,1,registered,yes,bad
